Methodology,Application,Problem,Contribution,AI Method,Security,Privacy,Allocation,Metric,Technology,TRLE,UNSD Code,Communication,Evaluation,Blockchain,Consensus,Permission,Type,Chain,Reward
0.0,0.03540346303481473,0.15516991809972208,0.0,0.006791847152785976,0.11628042599627884,0.0,0.10750387372402874,0.12103062952729637,0.0,0.23689571130895307,0.010315094607791437,0.0,0.026313647212827026,0.0,0.0,0.04276037170746581,0.1250209294670514,0.01651408816098442,0.0
0.0,0.0,0.0,0.3527674210266174,0.0,0.0,0.0,0.0,0.048193554080294146,0.4050220412175968,0.0,0.1940169836754917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07041504840279152,0.0,0.07508965881140271,0.0,0.12778060171976696,0.04572465350033474,0.016062814017899912,0.1622001595364539,0.15801162891813939,0.05948883431765873,0.07919304159294005,0.0,0.0713645572637434,0.0,0.0,0.0,0.0,0.1346690019188688,0.0
0.0,0.01377554052614969,0.07874446751038057,0.0,0.1689243352855766,0.04128992179754364,0.0,0.0,0.2117294899599328,0.1784733028576906,0.08605593771271819,0.03826325790703842,0.0,0.0,0.0,0.0,0.16085784469179143,0.0,0.0,0.021885901751178105
0.0,0.0,0.023531495159192173,0.29500771229835154,0.0,0.0,0.0,0.0793986614588645,0.32133921374338537,0.02880136254646394,0.002663703461593453,0.027790089813007953,0.0,0.027939653331858764,0.0,0.1364763315879025,0.0,0.0,0.0,0.05705177659937984
0.0,0.03207865372605361,0.35534993120806674,0.08307699344626768,0.0,0.0,0.09367095531536923,0.0,0.06041608240565351,0.0,0.0,0.0,0.08146810031362337,0.0,0.017729837392656052,0.03642936699113859,0.0316613605974341,0.12158495863923857,0.03643432463071694,0.050099435333781556
0.0,0.12132183197997981,0.26494866795927735,0.014216325621096534,0.012874156117590024,0.14276470044957523,0.0,0.035207785989952146,0.13272670185386085,0.0,0.04596583754570516,0.15297368817386245,0.0,0.0,0.012629014591186117,0.0,0.03278594274841277,0.031585346969501535,0.0,0.0
0.0,0.07755517260185868,0.01501130320381397,0.166394050525382,0.09642259421422059,0.0,0.0,0.0,0.3695871306706027,0.0,0.04077432381660677,0.054864238022016634,0.0,0.0,0.0,0.07391929607938699,0.01159262201975525,0.0,0.008702204755834187,0.08517706409052234
0.0,0.03727059813868621,0.1994145517676351,0.07656450764380152,0.0,0.19540974645912396,0.028229707476641386,0.0,0.0,0.18060481529481576,0.0,0.023272112943372718,0.0,0.08810299606890029,0.046061933113328506,0.04862481044505746,0.0,0.07644422064863717,0.0,0.0
0.012749654888091988,0.2502388960985185,0.08283279876938811,0.045789151241234616,0.0,0.013148181937447663,0.0,0.0,0.06750056593348427,0.0,0.0,0.02457745396602531,0.0,0.34708697202166117,0.05183705371838081,0.0,0.0,0.009721595326554405,0.09451767609921331,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0405629006591871,0.39298503961338843,0.053422259853206894,0.03139538490372279,0.0,0.0,0.024375747579270482,0.3716471807716255,0.02945980937345668,0.026268720349796396,0.0,0.0,0.0,0.02988295689634571,0.0,0.0,0.0,0.0,0.0
0.0,0.23978990520928503,0.0777584262243694,0.0,0.0,0.029611510762402128,0.0,0.0,0.08234543448121007,0.21994815708217952,0.0,0.0,0.0,0.27021992305630244,0.0,0.0,0.08032664318425133,0.0,0.0,0.0
0.0,0.19787008267225864,0.04323485863203701,0.0,0.0,0.0753035026036467,0.0,0.0,0.18835167459469393,0.14721305399245516,0.05724267915219212,0.03909644469639017,0.0,0.0,0.1331634147882398,0.0,0.04480353331871352,0.0707968761383181,0.0,0.0029238794110547973
0.0,0.031017987935346332,0.04862861093039634,0.055889403170642206,0.01757104960792818,0.13203356789938553,0.0,0.0012287447278271782,0.02909704176963128,0.008328372311888401,0.03345760189807153,0.0,0.0,0.017876672976808394,0.0,0.48489596542705354,0.0,0.13997498134502095,0.0,0.0
0.0,0.05442401504693354,0.0,0.0,0.0019370723686921657,0.0,0.0,0.0,0.2632758323731552,0.0,0.0,0.04312677556055962,0.0,0.0,0.460915546423617,0.0,0.09371263535110916,0.03060391663452685,0.023639211780431196,0.028364994460975294
0.0,0.0,0.0012464072021291103,0.0005047434124324383,0.0034714824775972644,0.0,0.0,0.001648141754881451,0.008514883893795844,0.0,0.0,0.01468664694728753,0.0,0.010413118450804762,0.009051855148359633,0.016682615421025053,0.0,0.7324860878288104,0.20129401746287656,0.0
0.0,0.0,0.027320303960648613,0.007467603344311865,0.0,0.005650562682365993,0.0,0.0,0.0017526007848894882,0.0,0.0087136980200133,0.02004922289194211,0.0,0.0,0.006530761670884112,0.013108695476794097,0.8364891924256854,0.0,0.07291735874246505,0.0
0.0,0.0,0.037473331964987144,0.1066317400783238,0.024466782010738413,0.04724561189599051,0.0,0.0,0.06514097333672438,0.0,0.026402116041551224,0.0,0.0,0.0,0.008404914497470646,0.03187716521380481,0.25005954380618356,0.4022978211542256,0.0,0.0
0.0,0.0742493048108278,0.01747201481962885,0.04062634384506197,0.0,0.021281799869241058,0.0,0.1492036346298703,0.4587950166067331,0.008978381278964904,0.021021103275947788,0.012469638384138176,0.0,0.0,0.05237906470260049,0.02267917923630568,0.08604872135187792,0.01798619895945955,0.016809598229342453,0.0
