Latent Dimension,Eigen Value,Benzécri
1,0.044289635219385504,0.04429
2,0.04025447488352165,0.04025
3,0.030229648764496332,0.03023
4,0.028504684656798698,0.0285
5,0.02515978881507614,0.02516
6,0.024449163996987523,0.02445
7,0.022264876659181164,0.02226
8,0.021235430805004975,0.02124
9,0.020649457424841904,0.02065
10,0.019995152256057597,0.02
11,0.019302442411210503,0.0193
12,0.018791078448283587,0.01879
13,0.018145033035923557,0.01815
14,0.017522414197799402,0.01752
15,0.01747907528187643,0.01748
16,0.01724805289279504,0.01725
17,0.016619024230976668,0.01662
18,0.016285372731576042,0.01629
19,0.01597304274963446,0.01597
20,0.015744236184733917,0.01574
21,0.015212881031047855,0.01521
22,0.015175830923303546,0.01518
23,0.014744028646891047,0.01474
24,0.014451458452375623,0.01445
25,0.014195733828032141,0.0142
26,0.014075688176548275,0.01408
27,0.013640240589111407,0.01364
28,0.013548409418492639,0.01355
29,0.013338893906627954,0.01334
30,0.013202154527916322,0.0132
31,0.012926884149163747,0.01293
32,0.012616630565330458,0.01262
33,0.012477655250134603,0.01248
34,0.012439837664469395,0.01244
35,0.012113285174652455,0.01211
36,0.011867913333621851,0.01187
37,0.011543154053595805,0.01154
38,0.011126347524775341,0.01113
39,0.011017949487729892,0.01102
40,0.010996084002518914,0.011
41,0.01081190906485061,0.01081
42,0.010536634506070454,0.01054
43,0.010362135949434938,0.01036
44,0.010252933553697774,0.01025
45,0.010106846757579616,0.01011
46,0.009871428698957024,0.00987
47,0.009634109546823073,0.00963
48,0.009420787458760797,0.00942
49,0.009345791897354372,0.00935
50,0.009113947460369063,0.00911
51,0.008917198467367587,0.00892
52,0.008787870009740592,0.00879
53,0.008620703764029222,0.00862
54,0.008438765868157807,0.00844
55,0.0083215276950062,0.00832
56,0.008072087373571176,0.00807
57,0.0080235180267657,0.00802
58,0.007851554492813414,0.00785
59,0.007687936070064383,0.00769
60,0.007593631558898243,0.00759
61,0.007424621955182669,0.00742
62,0.007289012304109545,0.00729
63,0.0071020051059802235,0.0071
64,0.006995266270257551,0.007
65,0.006834543364691115,0.00683
66,0.006398340967724962,0.0064
67,0.006275107391345599,0.00628
68,0.005982181236301018,0.00598
69,0.0058315519887227225,0.00583
70,0.0056571486293497345,0.00566
71,0.005595935433568494,0.0056
72,0.005341000881727132,0.00534
73,0.004833444270638358,0.00483
74,0.004750327700502157,0.00475
75,0.004258025225553115,0.00426
76,0.004180163255981327,0.00418
77,0.00395715666720947,0.00396
78,0.0031957724762804018,0.0032
79,0.002692499858878985,0.00269
80,0.0010425267990097518,0.00104
81,0.0009596049721594998,0.00096
82,0.0007792986720148403,0.00078
83,1.0364626826827077e-30,0.0
84,8.734590432768214e-33,0.0
85,7.597007467605287e-34,0.0
86,4.534159153115479e-34,0.0
87,4.018608568472622e-34,0.0
88,4.018608568472622e-34,0.0
89,4.018608568472622e-34,0.0
90,4.018608568472622e-34,0.0
91,4.018608568472622e-34,0.0
92,4.018608568472622e-34,0.0
93,4.018608568472622e-34,0.0
94,4.018608568472622e-34,0.0
95,4.018608568472622e-34,0.0
96,4.018608568472622e-34,0.0
97,4.018608568472622e-34,0.0
98,4.018608568472622e-34,0.0
99,4.018608568472622e-34,0.0
100,4.018608568472622e-34,0.0
